"","Job.Family","Department.Code","Salaries","Year","Overtime","Union","Total.Benefits","Retirement","Total.Compensation"
"40","Police Services","POL",152939.55,2019,48323.87,"POA",47928.57,27781.54,260348.87
"41","Police Services","POL",150790.62,2019,53243.6,"POA",46852.09,27559.48,267084.75
"42","Police Services","POL",172312.69,2019,17676.27,"POA",50438.84,31465.64,251010.7
"43","Police Services","POL",40138.64,2019,0,"POA",3115.41,0,43254.05
"44","Police Services","POL",14519.5,2019,0.01,"POA",883.95,0,61845.58
"45","Airport Operation","POL",75633.91,2019,10764.57,"SEIU, Local 1021, Misc",37831.26,15658.82,130514.3
"46","Police Services","POL",147062.38,2019,30582.12,"POA",30051.73,26882.9,215659.33
"47","Police Services","POL",179580.24,2019,30718.14,"POA",54098.15,33033.39,273837.14
"48","Police Services","POL",220297.97,2019,12336.89,"POA",60189.18,40420.9,298258.6
"49","Airport Operation","POL",76147,2019,27944.11,"SEIU, Local 1021, Misc",40016.65,16373.28,153615.93
"50","Police Services","POL",49622.09,2019,181.68,"POA",15068.03,9076.76,65220.63
"51","Police Services","POL",129705.01,2019,16462.32,"POA",41802.95,23733.35,196267.93
"52","Clerical, Secretarial & Steno","POL",63161,2019,0,"SEIU, Local 1021, Misc",32011.17,12253.86,96116.17
"53","Police Services","POL",129681.16,2019,12759.83,"POA",41720.89,23729.69,186710
"54","Police Services","POL",0,2019,17.23,"POA",0.04,0,17.27
"55","Police Services","POL",129805.76,2019,4395.22,"POA",42260.17,24222.58,187022.1
"56","Clerical, Secretarial & Steno","POL",67930.63,2019,0,"SEIU, Local 1021, Misc",33336.34,13394.47,103407.77
"57","Police Services","POL",174713.04,2019,12230.57,"POA",52016.49,32509.19,243399.43
"58","Police Services","POL",129705.02,2019,4094.31,"POA",41496.93,23733.35,176467.07
"59","Police Services","POL",150793.31,2019,14354.22,"POA",46055.58,27560.76,213355.03
"60","Airport Operation","POL",74757.1,2019,2388.92,"SEIU, Local 1021, Misc",36063.65,14945.58,116640.31
"61","Police Services","POL",150597.81,2019,32015.03,"POA",46176.33,27525.3,233534.93
"62","Police Services","POL",129705,2019,8389.22,"POA",42175.39,24203.93,191694.8
"63","Police Services","POL",150700.67,2019,48127.99,"POA",45777.77,28070.5,252250.3
"64","Police Services","POL",152236.03,2019,62014.05,"POA",48215.9,27821.66,271276.33
"65","Untitled","POL",150626.07,2019,13703.37,"POA",46620.29,28076.27,224566.83
"66","Police Services","POL",129594.14,2019,71939.07,"POA",46884.38,24178.19,252073.57
"67","Airport Operation","POL",0,2019,8.38,"SEIU, Local 1021, Misc",0.66,0,9.04
"68","Police Services","POL",150626.04,2019,22950.88,"POA",45959.06,27529.62,221385.52
"69","Police Services","POL",130552.1,2019,73552,"POA",44189.1,24249.42,262533.08
"70","Airport Operation","POL",74286.59,2019,6885.65,"SEIU, Local 1021, Misc",35976.15,14702.17,119784.8
"71","Police Services","POL",124314.74,2019,76.99,"POA",37698.63,23190.8,165576.04
"72","Police Services","POL",129930.23,2019,53196.63,"POA",42419.65,23733.35,233012.2
"73","Police Services","POL",0,2019,0,"POA",89.31,0,6248.72
"74","Clerical, Secretarial & Steno","POL",63031.03,2019,0,"SEIU, Local 1021, Misc",31874.06,12048.53,94905.09
"75","Police Services","POL",0,2019,1.68,"POA",0,0,1.68
"76","Police Services","POL",0,2019,0,"POA",3.44,0,203.44
"77","Untitled","POL",29471.78,2019,456.36,"POA",5566.47,1086.81,117775.18
"78","Police Services","POL",129705,2019,17472.19,"POA",40869.87,23733.35,196213.93
"79","Police Services","POL",17407.58,2019,0,"POA",1679.79,0,63157.28
"80","Police Services","POL",215429.79,2019,870.9,"POA",65245.75,40111.51,287184.52
"81","Police Services","POL",156229.12,2019,34389.56,"POA",52095.79,29113.07,255388.65
"82","Police Services","POL",147801.17,2019,13988.69,"POA",45413.09,27017.08,218512.32
"83","Police Services","POL",136568.41,2019,112394.18,"POA",45916.88,25425.49,302404.35
"84","Police Services","POL",127238.26,2019,9655.44,"POA",40766.79,23286.43,178761.82
"85","Police Services","POL",217510.22,2019,876.46,"POA",59858.27,40455.45,283684.43
"86","Police Services","POL",0,2019,3094.43,"POA",8.35,0,3102.78
"87","Police Services","POL",155269.8,2019,11213.36,"POA",31917.23,28933.95,207230.32
"88","Police Services","POL",0,2019,164.52,"POA",2.83,0,167.35
"89","Police Services","POL",129778.72,2019,49328.11,"POA",42338.78,23729.69,228419.64
"90","Police Services","POL",129705.01,2019,16327.1,"POA",42226.32,24203.93,192193.12
"91","Police Services","POL",131708.11,2019,211.51,"POA",45194.78,24096.68,178571.37
"92","Police Services","POL",131331.84,2019,32987.43,"POA",42102.21,23733.35,212668.27
"93","Police Services","POL",0,2019,758.01,"POA",13.04,0,771.05
"94","Police Services","POL",152690.92,2019,7170.77,"POA",47678.25,27904.22,213983.6
"95","Airport Operation","POL",69064.22,2019,246.69,"SEIU, Local 1021, Misc",34208.05,13686.64,106051.85
"96","Airport Operation","AIR",88031.29,2018,7488.06,"SEIU, Local 1021, Misc",40747.57,18337.99,143688.18
"97","Airport Operation","AIR",114661.03,2018,0,"Prof & Tech Eng, Local 21",45356.81,22028.59,160017.84
"98","Housekeeping & Laundry","AIR",61603,2018,2846.4,"SEIU, Local 1021, Misc",31133.85,11835.09,97983.25
"99","Housekeeping & Laundry","AIR",61603,2018,2305.56,"SEIU, Local 1021, Misc",32228.48,12472.18,99450.63
"100","Housekeeping & Laundry","AIR",61603,2018,1537.05,"SEIU, Local 1021, Misc",32171.69,12474.04,98637.92
"101","Housekeeping & Laundry","AIR",61603,2018,3571.35,"SEIU, Local 1021, Misc",32866.01,12856.19,103354.26
"102","Journeyman Trade","AIR",88972.67,2018,1492.07,"Teamsters, Local 853",39984.55,17601.43,133091.07
"103","Journeyman Trade","AIR",117622.02,2018,5534.61,"Electrical Workers, Local 6",52159.84,24839.79,186988.09
"104","Housekeeping & Laundry","AIR",60452.4,2018,1932.36,"SEIU, Local 1021, Misc",33989.71,14363.01,101999.18
"105","Housekeeping & Laundry","AIR",61603,2018,1935.55,"SEIU, Local 1021, Misc",32329.48,12609.42,99897.53
"106","Public Service Aide","AIR",10591.2,2018,0,"SEIU, Local 1021, Misc",940.39,0,11531.59
"107","Museum & Cultural Affairs","AIR",68771,2018,73.04,"SEIU, Local 1021, Misc",33140.16,13426.46,103099.2
"108","Housekeeping & Laundry","AIR",61603,2018,1067.4,"SEIU, Local 1021, Misc",31012.53,11890.59,93682.93
"109","Budget, Admn & Stats Analysis","AIR",48284.01,2018,129.21,"SEIU, Local 1021, Misc",29095.45,10896.09,77508.67
"110","Health & Sanitation Inspection","AIR",115883.03,2018,776.23,"Prof & Tech Eng, Local 21",45927.74,22263.62,162587
"111","Construction Inspection","AIR",110608.93,2018,18045.87,"Prof & Tech Eng, Local 21",45881.12,21295.09,174770.27
"112","Journeyman Trade","AIR",117622,2018,10935.97,"Electrical Workers, Local 6",49012.61,22597.32,177570.58
"113","Information Systems","AIR",137402.01,2018,0,"Prof & Tech Eng, Local 21",50898.71,25763.19,188300.72
"114","Health & Sanitation Inspection","AIR",125840.66,2018,0,"Prof & Tech Eng, Local 21",47966.26,23595.43,173806.92
"115","Housekeeping & Laundry","AIR",52547.21,2018,2013.33,"SEIU, Local 1021, Misc",31811.94,12887.57,90957.17
"116","Housekeeping & Laundry","AIR",32059.91,2018,1948.65,"SEIU, Local 1021, Misc",19673.24,7779.01,56154.8
"117","Supervisory-Labor & Trade","AIR",99452.08,2018,6402.93,"Carpenters, Local 22",43136.11,19472.03,150883.62
"118","Airport Operation","AIR",116947.02,2018,11669.17,"Electrical Workers, Local 6",49374.02,22683.82,179116.21
"119","Airport Operation","AIR",39858,2018,463.36,"SEIU, Local 1021, Misc",18326.46,7849.46,59566.09
"120","Clerical, Secretarial & Steno","AIR",25090.36,2018,0,"SEIU, Local 1021, Misc",14242.35,5658.05,44035.5
"121","Health & Sanitation Inspection","AIR",35382.87,2018,0,"Prof & Tech Eng, Local 21",15935.67,6852.88,52960.8
"122","Budget, Admn & Stats Analysis","AIR",119972.05,2018,0,"Prof & Tech Eng, Local 21",47118.55,23050.16,167090.6
"123","Journeyman Trade","AIR",109831.05,2018,3720.43,"Plumbers, Local 38",48237.18,21977.93,166352.8
"124","Airport Operation","AIR",89218.5,2018,8522.29,"SEIU, Local 1021, Misc",39648.57,17342.03,138434.83
"125","Journeyman Trade","AIR",90353.02,2018,1575.79,"Auto Machinist, Local 1414",42723.43,18038.42,138180.09
"126","Professional Engineering","AIR",35311.01,2018,0,"Prof & Tech Eng, Local 21",15499.36,6763.69,55500.67
"127","Professional Engineering","AIR",56186.79,2018,46.48,"Prof & Tech Eng, Local 21",24240.56,8687.38,80473.83
"128","Airport Operation","AIR",59312.43,2018,374.36,"SEIU, Local 1021, Misc",19600.15,13380.25,80886.94
"129","Museum & Cultural Affairs","AIR",8519.2,2018,0,"SEIU, Local 1021, Misc",4907.94,1885.81,15770.05
"130","Housekeeping & Laundry","AIR",55137.2,2018,2806.98,"SEIU, Local 1021, Misc",32928.22,13537.55,98148.74
"131","Management","AIR",152166,2018,0,"Municipal Exec Assoc, Misc",57720.23,28504.64,209886.23
"132","Clerical, Secretarial & Steno","AIR",61010.45,2018,33.13,"SEIU, Local 1021, Misc",30729.19,11776.27,92172.77
"133","Construction Project Mgmt","AIR",192107.16,2018,0,"Prof & Tech Eng, Local 21",62062.88,35985.31,254170.04
"134","Housekeeping & Laundry","AIR",53330.11,2018,1083.22,"SEIU, Local 1021, Misc",31182.45,12975.6,89805.31
"135","Professional Engineering","AIR",109060.01,2018,0,"Prof & Tech Eng, Local 21",31164.79,20958.04,140224.8
"136","Journeyman Trade","AIR",31986.56,2018,0,"SF City Workers United",2505.66,0,34788.47
"137","Housekeeping & Laundry","AIR",48828.59,2018,3086.53,"SEIU, Local 1021, Misc",29397.61,11901.85,85266.22
"138","Public Safety Inspection","AIR",122816.01,2018,14151.06,"Electrical Workers, Local 6",50061.24,23325.33,188730.89
"139","Airport Operation","AIR",79291.45,2018,23696.04,"SEIU, Local 1021, Misc",38663.03,16034.62,145688.21
"140","Sub-Professional Engineering","AIR",8128.21,2018,0,"Prof & Tech Eng, Local 21",664.35,0,9229.97
"141","Journeyman Trade","AIR",94352.01,2018,272.48,"Carpenters, Local 22",41038.57,18126.72,135663.06
"142","Journeyman Trade","AIR",110428.02,2018,5008.74,"Sheet Metal Workers, Local 104",48459.41,21502.71,165391.17
"143","Sub-Professional Engineering","AIR",1982.7,2018,0,"Prof & Tech Eng, Local 21",153.89,0,2136.59
"144","Airport Operation","AIR",3220,2018,0,"SEIU, Local 1021, Misc",758.15,0,4003.91
"145","Semi-Skilled & General Labor","AIR",53015.01,2018,7664.7,"Electrical Workers, Local 6",33230.08,11989.04,94039.79
"146","Housekeeping & Laundry","AIR",51557.41,2018,1972.74,"SEIU, Local 1021, Misc",31441.77,12698.19,89709.52
"147","Journeyman Trade","AIR",86873.01,2018,0,"BrickLayers, Local 3",38958.49,16851.61,126671.5
"148","Professional Engineering","AIR",74179,2018,0,"Prof & Tech Eng, Local 21",30388.03,14239.69,104567.03
"149","Sub-Professional Engineering","AIR",44326.52,2018,0,"Prof & Tech Eng, Local 21",7328.78,3863.68,53455.3
"150","Public Service Aide","AIR",2212,2018,0,"SEIU, Local 1021, Misc",171.68,0,2383.68
"151","Public Service Aide","AIR",2438,2018,0,"SEIU, Local 1021, Misc",189.23,0,2627.23
"152","Public Service Aide","AIR",6277.07,2018,0,"SEIU, Local 1021, Misc",487.2,0,6764.27
"153","Journeyman Trade","AIR",69645.6,2018,4553.5,"Plumbers, Local 38",33651.81,14452.23,113281.99
"154","Public Service Aide","AIR",13913.36,2018,0,"SEIU, Local 1021, Misc",1094.07,0,15190.11
"155","Payroll, Billing & Accounting","AIR",28990.89,2018,0,"Prof & Tech Eng, Local 21",2696.09,0,31686.98
"156","Sub-Professional Engineering","AIR",3084.2,2018,0,"Prof & Tech Eng, Local 21",239.39,0,3523.59
"157","Legal & Court","CAT",157898.4,2018,0,"Municipal Attorneys Assoc",42317.22,29637.46,200215.62
"158","Museum & Cultural Affairs","ART",63599.51,2018,0,"SEIU, Local 1021, Misc",29556.81,10418.75,93156.32
"159","Budget, Admn & Stats Analysis","ART",3688,2018,0,"SEIU, Local 1021, Misc",286.25,0,3974.25
"160","Appraisal & Taxation","ASR",81203.01,2018,0,"SEIU, Local 1021, Misc",36475.42,15602.09,117678.43
"161","Appraisal & Taxation","ASR",4094,2018,0,"Prof & Tech Eng, Local 21",2246.95,746.34,14230.6
"162","Information Systems","BOS",93060.43,2018,0,"Prof & Tech Eng, Local 21",20855.77,11861.32,113916.2
"163","Clerical, Secretarial & Steno","CAT",86067.07,2018,0,"SEIU, Local 1021, Misc",38114.93,16655.08,124806
"164","Legal & Court","CAT",19852.35,2018,0,"Prof & Tech Eng, Local 21",8408.7,3821.58,28261.05
"165","Community Development","CHF",98387.96,2018,0,"SEIU, Local 1021, Misc",40432.11,18919.53,138820.07
"166","Community Development","CHF",60220.95,2018,0,"SEIU, Local 1021, Misc",30601,11502.59,90829.97
"167","Information Systems","ASR",53257.85,2018,0,"Prof & Tech Eng, Local 21",4133.67,0,57391.52
"168","Legal & Court","CAT",228070.06,2018,0,"Municipal Attorneys Assoc",70823.63,42722.29,298893.69
"169","Management","CON",130055.42,2018,0,"Municipal Exec Assoc, Misc",41430.93,24319.22,218031.35
"170","Information Systems","CON",132296.09,2018,0,"Prof & Tech Eng, Local 21",49746.65,24781.5,182042.74
"171","Budget, Admn & Stats Analysis","CON",86574.02,2018,0,"Prof & Tech Eng, Local 21",37884.71,16640.57,124458.73
"172","Management","ASR",143593,2018,0,"Municipal Exec Assoc, Misc",56276.28,26898.41,199869.28
"173","Legal & Court","CAT",126192.04,2018,0,"Prof & Tech Eng, Local 21",47986.77,23638.07,174178.81
"174","Budget, Admn & Stats Analysis","CON",111362.76,2018,0,"Prof & Tech Eng, Local 21",44366.28,21392.83,155729.04
"175","Appraisal & Taxation","ASR",72069.01,2018,0,"Prof & Tech Eng, Local 21",34254.9,14076.17,107523.91
"176","Information Systems","ASR",145073.01,2018,0,"Prof & Tech Eng, Local 21",52269.23,27174.83,197342.24
"177","Management","ASR",175994.34,2018,0,"Municipal Exec Assoc, Misc",63054.04,32970.56,239048.38
"178","Personnel","CAT",125818.07,2018,0,"Prof & Tech Eng, Local 21",47537.15,23590.78,173355.22
"179","Clerical, Secretarial & Steno","CON",2292,2018,0,"SEIU, Local 1021, Misc",2045.21,422.21,15836.68
"180","Budget, Admn & Stats Analysis","CON",79115.81,2018,0,"Prof & Tech Eng, Local 21",33180.43,15229.75,112296.24
"181","Appraisal & Taxation","ASR",104833.91,2018,0,"Prof & Tech Eng, Local 21",28500.74,20423.22,134814.65
"182","Appraisal & Taxation","ASR",109519.05,2018,0,"Prof & Tech Eng, Local 21",44714.81,21463.07,156433.86
"183","Appraisal & Taxation","ASR",94612.07,2018,0,"Prof & Tech Eng, Local 21",40396.04,18406.78,136208.11
"184","Legal & Court","CAT",80244.06,2018,0,"Prof & Tech Eng, Local 21",31956.89,15403.36,112200.95
"185","Payroll, Billing & Accounting","CON",95780.5,2018,172.88,"SEIU, Local 1021, Misc",40621.68,18401.23,136575.06
"186","Payroll, Billing & Accounting","CON",3574,2018,0,"Prof & Tech Eng, Local 21",965.41,688,4539.41
"187","Appraisal & Taxation","ASR",61631.96,2018,0,"SEIU, Local 1021, Misc",29536.39,11841.5,91168.35
"188","Legal & Court","CAT",7509,2018,0,"Municipal Attorneys Assoc",3306.97,1359.5,19881.44
"189","Clerical, Secretarial & Steno","CAT",91490.86,2018,0,"SEIU, Local 1021, Misc",39159.8,17695.17,131267.46
"190","Information Systems","CON",129536.52,2018,0,"Prof & Tech Eng, Local 21",48837.78,24289.38,179218.27
"191","Payroll, Billing & Accounting","CON",115170.86,2018,0,"Prof & Tech Eng, Local 21",45448.31,22128.04,160619.17
"192","Payroll, Billing & Accounting","CPC",82743.13,2018,0,"SEIU, Local 1021, Misc",36927,15896.6,119670.13
"193","Professional Engineering","CPC",137126,2018,0,"Prof & Tech Eng, Local 21",50471.43,25686.37,187597.43
"194","Untitled","CPC",12000,2018,0,"Member, Board Or Commission",945.72,0,12945.72
"195","Budget, Admn & Stats Analysis","ASR",95221.01,2018,0,"SEIU, Local 1021, Misc",40535.7,18487.43,136756.71
"196","Information Systems","CON",137739.29,2018,0,"Prof & Tech Eng, Local 21",50670.64,25818.46,188409.93
"197","Professional Engineering","CPC",89670.13,2018,0,"Prof & Tech Eng, Local 21",38558.12,17227.86,128228.25
"198","Street Transit","CAT",126764,2018,0,"TWU, Local 200",48852.45,23745.17,175616.45
"199","Payroll, Billing & Accounting","CON",128748.03,2018,3237.61,"Prof & Tech Eng, Local 21",48769.59,24117.66,180755.23
"200","Information Systems","CPC",141593.04,2018,0,"Prof & Tech Eng, Local 21",51572.4,26523.01,193165.44
"201","Payroll, Billing & Accounting","CON",53276.2,2018,0,"Prof & Tech Eng, Local 21",19934.61,9959.49,73210.81
"202","Professional Engineering","CPC",115648.12,2018,0,"Prof & Tech Eng, Local 21",45949.35,22218.13,161597.47
"203","Appraisal & Taxation","ASR",90887.97,2018,0,"Prof & Tech Eng, Local 21",34415.14,17266.16,126403.11
"204","Legal & Court","BOA",91028.03,2018,7347.11,"Prof & Tech Eng, Local 21",40170.68,17488.12,138545.82
"205","Legal & Court","CAT",114428.07,2018,0,"Prof & Tech Eng, Local 21",45337.67,21983.88,159765.74
"206","Legal & Court","CAT",183190.04,2018,0,"Municipal Attorneys Assoc",61286.6,34316.9,244476.64
"207","Budget, Admn & Stats Analysis","CON",73961.41,2018,0,"Prof & Tech Eng, Local 21",34101.33,14210.08,108062.74
"208","Untitled","CPC",12300,2018,0,"Member, Board Or Commission",954.69,0,13254.69
"209","Management","CPC",157162.18,2018,0,"Municipal Exec Assoc, Misc",57571.5,29441.29,214733.68
"210","Untitled","BOS",1400,2018,0,"Commissioner No Benefits",110.34,0,1510.34
"211","Budget, Admn & Stats Analysis","CON",13750.02,2018,0,"SEIU, Local 1021, Misc",6767.89,2620.54,24510.47
"212","Information Systems","CON",148682.65,2018,0,"Prof & Tech Eng, Local 21",53036.79,27850.98,201719.44
"213","Legal & Court","CAT",107826.01,2018,0,"Prof & Tech Eng, Local 21",43637.32,20716.86,151463.33
"214","Clerical, Secretarial & Steno","CAT",85139.72,2018,0,"SEIU, Local 1021, Misc",37442.12,16358.24,122581.84
"215","Untitled","BOS",800,2018,0,"Commissioner No Benefits",62.1,0,862.1
"216","Untitled","BOS",1300,2018,0,"Commissioner No Benefits",100.92,0,1400.92
"217","Street Transit","CAT",126545.59,2018,0,"TWU, Local 200",48272.73,23704.19,174818.32
"218","Information Systems","CON",117781.96,2018,0,"Prof & Tech Eng, Local 21",45770.2,22629.21,164142.66
"219","Information Systems","CON",14046.8,2018,0,"Prof & Tech Eng, Local 21",5658.56,2662.75,19705.36
"220","Public Service Aide","AIR",126,2018,0,"SEIU, Local 1021, Misc",9.78,0,135.78
"221","Untitled","BOS",200,2018,0,"Commissioner No Benefits",15.52,0,215.52
"222","Clerical, Secretarial & Steno","CAT",86067.03,2018,0,"SEIU, Local 1021, Misc",37589.52,16535.21,123656.55
"223","Legal & Court","CAT",182000.02,2018,0,"Municipal Attorneys Assoc",60954.22,34093.54,242954.24
"224","Community Development","CFC",86710.51,2018,0,"SEIU, Local 1021, Misc",38210.57,16858.86,125961.08
"225","Budget, Admn & Stats Analysis","ART",85630.29,2018,0,"SEIU, Local 1021, Misc",37215.84,16452.46,122846.13
"226","Clerical, Secretarial & Steno","CSS",64152.01,2018,0,"SEIU, Local 1021, Misc",29486.27,12319.93,95550.7
"227","Pub Relations & Spec Assts","CSS",53976.72,2018,538.44,"SEIU, Local 1021, Misc",30266.96,12174.36,84782.12
"228","Clerical, Secretarial & Steno","DAT",1302.89,2018,0,"SEIU, Local 1021, Misc",1005.85,239.29,7714.79
"229","Legal & Court","DAT",105251.22,2018,0,"SEIU, Local 1021, Misc",43466.04,20414.38,149717.26
"230","Untitled","CRT",73895.58,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",37809.35,14514.47,113368.93
"231","Untitled","CRT",86785.39,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",40903.22,16672.19,127688.61
"232","Untitled","CRT",88754.6,2018,0,"Court-Unrep Professional",38801.13,17043.12,127555.73
"233","Legal & Court","DAT",217292.03,2018,0,"Municipal Attorneys Assoc",68841.05,40703.45,286133.08
"234","Legal & Court","DAT",193791.54,2018,0,"Municipal Attorneys Assoc",63903.27,36301.68,257694.81
"235","Legal & Court","DAT",191336.8,2018,0,"Municipal Attorneys Assoc",63258.41,35849.65,254595.21
"236","Budget, Admn & Stats Analysis","DAT",111155,2018,0,"Prof & Tech Eng, Local 21",44305.76,21354.96,155460.76
"237","Clerical, Secretarial & Steno","CPC",17239.3,2018,0,"SEIU, Local 1021, Misc",10183.56,3901.23,27422.86
"238","Untitled","CRT",73895.6,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",37291.21,14314.7,111810.81
"239","Public Service Aide","DAT",15810,2018,0,"SEIU, Local 1021, Misc",6764.99,0,22574.99
"240","Public Safety Inspection","DBI",122816.03,2018,0,"Prof & Tech Eng, Local 21",47947.39,23465.94,173219.73
"241","Legal & Court","DAT",138061,2018,0,"SFDA Investigators Assn",55960.79,37437.47,202305.45
"242","Public Service Aide","CPC",2099,2018,0,"SEIU, Local 1021, Misc",162.92,0,2261.92
"243","Untitled","CRT",77499.52,2018,0,"Court-Supr Court Interpreters",37733.37,14888.65,115232.89
"244","Untitled","CRT",96288.76,2018,0,"Court-MEA",43684.16,18618.05,140596.92
"245","Public Safety Inspection","DBI",122816,2018,0,"Prof & Tech Eng, Local 21",47285.76,23005.65,170101.76
"246","Legal & Court","DAT",120144.67,2018,0,"Municipal Attorneys Assoc",44253.66,22495.39,164398.33
"247","Untitled","CRT",87289,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",41018.14,16886.87,128928.78
"248","Untitled","CRT",114583.78,2018,0,"Court-MEA",59961.83,22014.01,174545.61
"249","Administrative Secretarial","DBI",104896.04,2018,0,"Prof & Tech Eng, Local 21",42637.02,20152.55,147533.06
"250","Legal & Court","DAT",94573.53,2018,0,"Municipal Attorneys Assoc",38927.33,18205.38,133500.86
"251","Untitled","CRT",70099.23,2018,0,"Court Local 21 Staff Attorneys",30917.05,11880.68,120587.46
"252","Untitled","CRT",103769.71,2018,0,"Court-Unrep Professional",45557.62,19933.43,149327.33
"253","Legal & Court","DAT",82004.68,2018,0,"Prof & Tech Eng, Local 21",36612.05,15755.43,118616.73
"254","Untitled","CRT",76663.67,2018,237.18,"Utd Pub EmpL790 SEIU-Crt Clrks",37666.74,14727.68,114567.59
"255","Untitled","CRT",64763.45,2018,0,"Utd Pub EmpL790 SEIU-Crt Clrks",34783.91,12441.01,99547.36
"256","Clerical, Secretarial & Steno","DBI",78192.25,2018,0,"SEIU, Local 1021, Misc",35505.67,15138.13,114302.21
"257","Construction Inspection","DBI",135412.03,2018,0,"Building Inspects - 6331/33",53601.36,26633.43,195783.99
"258","Public Safety Inspection","DBI",129937.4,2018,0,"Plumbers, Local 38",52593.94,25797.88,190327.56
